_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
ppcbXcTWP8Jff2yBH,Bob,2019-11-08T15:35:14Z,,,,2019-11-08T22:43:44Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,wtKR8mFLwqrPTiQPw,"20,20,20,20,20",2019-11-08T22:43:00.606Z,20.0,2019-11-08T22:43:13.206Z,20.0,2019-11-08T22:43:24.697Z,20.0,2019-11-08T22:43:30.992Z,20.0,2019-11-08T22:43:42.696Z,20.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
QWYRRdGmmAxBPMZaz,Bob,2019-11-08T15:35:14Z,,,,2019-11-12T00:18:03Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,o3fLkeAmbgjkyQK7f,"88,88,88,88,88",2019-11-12T00:17:18.678Z,88.0,2019-11-12T00:17:27.683Z,88.0,2019-11-12T00:17:36.700Z,88.0,2019-11-12T00:17:50.871Z,88.0,2019-11-12T00:18:00.710Z,88.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
sa2wH6aXRWxreXdyQ,Bob,2019-11-08T15:35:14Z,,,,2019-11-08T22:00:50Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,LGerstjMumceMAYMW,"89,80,64,59,55",2019-11-08T21:59:59.310Z,89.0,2019-11-08T22:00:11.591Z,80.0,2019-11-08T22:00:24.399Z,64.0,2019-11-08T22:00:35.923Z,59.0,2019-11-08T22:00:49.004Z,55.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
5v8Z7RwEE5v4awbHC,Bob,2019-11-08T15:35:14Z,,,,2019-11-11T21:08:02Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,kGJ57JCA86jJGeveG,"98,98,83,75,65",2019-11-11T21:06:16.983Z,98.0,,98.0,,83.0,2019-11-11T21:07:30.282Z,75.0,2019-11-11T21:07:47.585Z,65.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
BAfTAcANBXx4YjS6Z,Bob,2019-11-08T15:35:14Z,,,,2019-11-12T01:19:20Z,finished,,,2019-11-08T15:35:14Z,republican,republican.png,CxACxJZ9RnesvfM6r,"54,54,54,54,54",2019-11-12T01:18:38.375Z,54.0,2019-11-12T01:18:49.372Z,54.0,2019-11-12T01:18:59.588Z,54.0,2019-11-12T01:19:10.573Z,54.0,2019-11-12T01:19:19.572Z,54.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
uGsdZr3iaqh44wXju,Bob,2019-11-08T15:35:15Z,,,,2019-11-11T21:12:25Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,F42uHzFqyZk3gWWkz,"82,82,82,82,71",2019-11-11T21:10:58.382Z,82.0,,82.0,,82.0,2019-11-11T21:11:56.972Z,82.0,2019-11-11T21:12:20.273Z,71.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
pvZ7JDY5nNDx6weR6,Bob,2019-11-08T15:35:15Z,,,,2019-11-08T22:04:28Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,mp4koxxR4aKdx2Bfo,"89,76,76,65,56",2019-11-08T22:03:26.706Z,89.0,2019-11-08T22:03:48.897Z,76.0,2019-11-08T22:04:01.219Z,76.0,2019-11-08T22:04:18.403Z,65.0,2019-11-08T22:04:27.590Z,56.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
ZW42hKygHw7Dvq2oi,Bob,2019-11-08T15:35:15Z,,,,2019-11-08T21:57:23Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,XPohtAzWDJ4hyrh6B,"20,20,20,20,20",2019-11-08T21:56:28.098Z,20.0,2019-11-08T21:56:39.304Z,20.0,2019-11-08T21:56:57.406Z,20.0,2019-11-08T21:57:08.200Z,20.0,2019-11-08T21:57:21.597Z,20.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
cFW6F4TzgCdR6nvDq,Bob,2019-11-08T15:35:15Z,,,,2019-11-11T21:25:13Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,Mx8LfaDYb2rqwtyJu,"92,92,92,77,79,66",2019-11-11T21:23:46.376Z,92.0,2019-11-11T21:24:16.580Z,92.0,2019-11-11T21:24:33.773Z,77.0,2019-11-11T21:24:54.282Z,79.0,2019-11-11T21:25:07.987Z,66.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
tEQhg6SK7WuN574ez,Bob,2019-11-08T15:35:15Z,,,,2019-11-12T01:04:19Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,encZyBMWuwG75ktT6,"73,59,53,49,47",2019-11-12T01:03:36.997Z,73.0,2019-11-12T01:03:47.076Z,59.0,2019-11-12T01:03:59.076Z,53.0,2019-11-12T01:04:08.199Z,49.0,2019-11-12T01:04:19.180Z,47.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
EjLj9W7P6pJ7H26qY,Bob,2019-11-08T15:35:15Z,,,,2019-11-08T22:06:35Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,idfC9SrQpeMbMF2bW,"97,84,75,71,67,64",2019-11-08T22:05:33.596Z,97.0,2019-11-08T22:05:50.795Z,84.0,2019-11-08T22:06:00.205Z,75.0,2019-11-08T22:06:14.006Z,71.0,2019-11-08T22:06:29.299Z,64.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
EKbrXgKXPqPyc2sfL,Bob,2019-11-08T15:35:15Z,,,,2019-11-11T17:57:22Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,5vr4YadatmsaATTDe,"76,76,76,76,76",,76.0,2019-11-11T17:56:21.756Z,76.0,2019-11-11T17:56:43.267Z,76.0,2019-11-11T17:56:58.283Z,76.0,2019-11-11T17:57:15.065Z,76.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
eFtKkYECPQdw7Nie6,Bob,2019-11-08T15:35:15Z,,,,2019-11-08T21:46:54Z,finished,,,2019-11-08T15:35:15Z,republican,republican.png,cf9iMKCWTPHn68CQF,"79,76,76,69,73,62",2019-11-08T21:45:52.103Z,79.0,2019-11-08T21:46:08.796Z,76.0,2019-11-08T21:46:27.592Z,69.0,2019-11-08T21:46:39.200Z,73.0,2019-11-08T21:46:48.602Z,62.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
