_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
GNKtMy8ExWBFY4XqR,hJ3Bfy9pyREh4FZGz,{},Bob,2019-10-17T23:51:22Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:22Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LsxpHBcDsEqsvFhfg,YoGyERF7ty3TSuWMa,{},Bob,2019-10-17T23:51:22Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:22Z,republican,republican.png,amTmTMsWi6YjSNe29,"55,55,55,55,55",2019-10-18T15:33:21.871Z,55,2019-10-18T15:33:42.172Z,55,2019-10-18T15:33:53.768Z,55,2019-10-18T15:34:04.377Z,55,2019-10-18T15:34:18.481Z,55,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wmc7vfMiz8XfD7wzh,B3pFEDYJTNDxRjNQJ,{},Bob,2019-10-17T23:51:22Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:22Z,republican,republican.png,AkJr3AGQFpBB4STYt,"82,74,71,69,70",2019-10-18T15:31:10.482Z,82,2019-10-18T15:31:27.674Z,74,2019-10-18T15:31:36.577Z,71,2019-10-18T15:31:43.795Z,69,2019-10-18T15:31:51.085Z,70,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBaoFSuomFrxAE4iC,sWGogekeZucDyQnza,{},Bob,2019-10-17T23:51:22Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:22Z,republican,republican.png,dKJxZBzYY58W4YDgr,"14,14,14,14,14",2019-10-18T19:30:36.872Z,14,2019-10-18T19:30:55.471Z,14,2019-10-18T19:31:12.874Z,14,2019-10-18T19:31:21.969Z,14,2019-10-18T19:31:34.277Z,14,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPcKfwQuKRNireHj,gk8RDnhcBkxYJqWEc,{},Bob,2019-10-17T23:51:23Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tY9AMWWyKJawa3JPE,99tSkNLgXXEi8wmKh,{},Bob,2019-10-17T23:51:23Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBv3hsyTBRFmcEvia,yZMT5Y7hPRCLquGoW,{},Bob,2019-10-17T23:51:23Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHsT3BmY6tEMSaAXF,KAfm2dE7Xe26YW3Rk,{},Bob,2019-10-17T23:51:23Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:23Z,republican,republican.png,kPPmWbxAsN5BKr6Xb,"9,9,9,9,9",2019-10-19T00:30:05.882Z,9,2019-10-19T00:30:12.970Z,9,2019-10-19T00:30:27.972Z,9,2019-10-19T00:30:36.371Z,9,2019-10-19T00:30:43.285Z,9,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB6bhu3FgocrdaFEP,qcNDJfeHKJJCbDLuA,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vabcYhZdzf8gyFkuS,74nzDJsNfhzWRAp3m,{},Bob,2019-10-17T23:51:24Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:24Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
